Year,Quarter,Month,Day,Count of Job Posting ID,Job Position Level
2017,Qtr 2,May,5,1,Mid-Senior level
2017,Qtr 2,May,11,1,Associate
2017,Qtr 2,May,13,1,Associate
2017,Qtr 2,May,13,1,Mid-Senior level
2017,Qtr 2,May,14,1,Mid-Senior level
2017,Qtr 2,May,15,1,Mid-Senior level
2017,Qtr 2,May,16,1,Entry level
2017,Qtr 2,May,17,1,Mid-Senior level
2017,Qtr 2,May,20,1,Mid-Senior level
2017,Qtr 2,May,22,1,Mid-Senior level
2017,Qtr 2,May,23,1,Mid-Senior level
2017,Qtr 2,May,24,1,Mid-Senior level
2017,Qtr 2,May,27,1,Mid-Senior level
2017,Qtr 2,May,28,1,Entry level
2017,Qtr 2,May,29,1,Associate
2017,Qtr 2,May,29,1,Mid-Senior level
2017,Qtr 2,May,31,2,Mid-Senior level
2017,Qtr 2,June,2,1,Entry level
2017,Qtr 2,June,5,1,Associate
2017,Qtr 2,June,5,1,Mid-Senior level
2017,Qtr 2,June,6,1,Associate
2017,Qtr 2,June,6,1,Entry level
2017,Qtr 2,June,6,1,Mid-Senior level
2017,Qtr 2,June,7,1,Mid-Senior level
2017,Qtr 2,June,8,1,Entry level
2017,Qtr 2,June,8,1,Mid-Senior level
2017,Qtr 2,June,11,1,Entry level
2017,Qtr 2,June,11,1,Mid-Senior level
2017,Qtr 2,June,14,1,Associate
2017,Qtr 2,June,17,2,Mid-Senior level
2017,Qtr 2,June,19,1,Associate
2017,Qtr 2,June,22,1,Mid-Senior level
2017,Qtr 2,June,27,1,Associate
2017,Qtr 2,June,27,1,Mid-Senior level
2017,Qtr 2,June,28,1,Associate
2017,Qtr 2,June,28,2,Mid-Senior level
2017,Qtr 2,June,30,1,Mid-Senior level
2017,Qtr 3,July,1,1,Mid-Senior level
2017,Qtr 3,July,2,1,Associate
2017,Qtr 3,July,4,1,Mid-Senior level
2017,Qtr 3,July,6,1,Entry level
2017,Qtr 3,July,6,1,Mid-Senior level
2017,Qtr 3,July,7,2,Mid-Senior level
2017,Qtr 3,July,8,2,Mid-Senior level
2017,Qtr 3,July,9,1,Mid-Senior level
2017,Qtr 3,July,12,1,Associate
2017,Qtr 3,July,13,1,Mid-Senior level
2017,Qtr 3,July,14,1,Associate
2017,Qtr 3,July,14,2,Mid-Senior level
2017,Qtr 3,July,15,1,Mid-Senior level
2017,Qtr 3,July,18,1,Mid-Senior level
2017,Qtr 3,July,19,1,Associate
2017,Qtr 3,July,20,2,Mid-Senior level
2017,Qtr 3,July,21,1,Entry level
2017,Qtr 3,July,23,1,Associate
2017,Qtr 3,July,23,1,Entry level
2017,Qtr 3,July,24,1,Mid-Senior level
2017,Qtr 3,July,26,2,Mid-Senior level
2017,Qtr 3,August,1,1,Associate
2017,Qtr 3,August,2,1,Entry level
2017,Qtr 3,August,2,1,Mid-Senior level
2017,Qtr 3,August,3,1,Mid-Senior level
2017,Qtr 3,August,4,2,Mid-Senior level
2017,Qtr 3,August,7,1,Mid-Senior level
2017,Qtr 3,August,9,1,Mid-Senior level
2017,Qtr 3,August,10,2,Mid-Senior level
2017,Qtr 3,August,12,2,Mid-Senior level
2017,Qtr 3,August,19,1,Entry level
2017,Qtr 3,August,21,1,Associate
2017,Qtr 3,August,21,1,Mid-Senior level
2017,Qtr 3,August,26,1,Mid-Senior level
2017,Qtr 3,August,28,1,Mid-Senior level
2017,Qtr 3,September,3,1,Mid-Senior level
2017,Qtr 3,September,7,1,Mid-Senior level
2017,Qtr 3,September,10,1,Mid-Senior level
2017,Qtr 3,September,13,1,Entry level
2017,Qtr 3,September,17,1,Associate
2017,Qtr 3,September,18,2,Mid-Senior level
2017,Qtr 3,September,19,2,Mid-Senior level
2017,Qtr 3,September,20,1,Entry level
2017,Qtr 3,September,23,1,Entry level
2017,Qtr 3,September,25,1,Entry level
2017,Qtr 3,September,25,1,Mid-Senior level
2017,Qtr 3,September,28,1,Associate
2017,Qtr 3,September,28,1,Mid-Senior level
2017,Qtr 3,September,30,2,Mid-Senior level
2017,Qtr 4,October,1,1,Entry level
2017,Qtr 4,October,2,1,Mid-Senior level
2017,Qtr 4,October,3,1,Associate
2017,Qtr 4,October,3,1,Entry level
2017,Qtr 4,October,3,1,Mid-Senior level
2017,Qtr 4,October,4,1,Mid-Senior level
2017,Qtr 4,October,6,1,Entry level
2017,Qtr 4,October,6,1,Mid-Senior level
2017,Qtr 4,October,10,1,Mid-Senior level
2017,Qtr 4,October,13,1,Mid-Senior level
2017,Qtr 4,October,14,1,Associate
2017,Qtr 4,October,15,2,Mid-Senior level
2017,Qtr 4,October,16,1,Mid-Senior level
2017,Qtr 4,October,18,1,Associate
2017,Qtr 4,October,18,1,Mid-Senior level
2017,Qtr 4,October,20,1,Mid-Senior level
2017,Qtr 4,October,22,1,Mid-Senior level
2017,Qtr 4,October,23,1,Associate
2017,Qtr 4,October,25,1,Mid-Senior level
2017,Qtr 4,October,27,1,Mid-Senior level
2017,Qtr 4,October,30,1,Mid-Senior level
2017,Qtr 4,November,2,1,Mid-Senior level
2017,Qtr 4,November,4,1,Mid-Senior level
2017,Qtr 4,November,5,1,Associate
2017,Qtr 4,November,5,1,Mid-Senior level
2017,Qtr 4,November,6,1,Mid-Senior level
2017,Qtr 4,November,7,1,Mid-Senior level
2017,Qtr 4,November,8,1,Mid-Senior level
2017,Qtr 4,November,9,1,Mid-Senior level
2017,Qtr 4,November,10,1,Entry level
2017,Qtr 4,November,13,1,Associate
2017,Qtr 4,November,13,1,Mid-Senior level
2017,Qtr 4,November,14,1,Associate
2017,Qtr 4,November,14,1,Mid-Senior level
2017,Qtr 4,November,15,1,Associate
2017,Qtr 4,November,18,1,Associate
2017,Qtr 4,November,19,1,Associate
2017,Qtr 4,November,19,1,Entry level
2017,Qtr 4,November,19,1,Mid-Senior level
2017,Qtr 4,November,22,1,Mid-Senior level
2017,Qtr 4,November,23,1,Mid-Senior level
2017,Qtr 4,November,24,1,Mid-Senior level
2017,Qtr 4,November,26,1,Associate
2017,Qtr 4,November,26,1,Mid-Senior level
2017,Qtr 4,November,27,1,Associate
2017,Qtr 4,November,28,1,Mid-Senior level
2017,Qtr 4,November,29,1,Mid-Senior level
2017,Qtr 4,November,30,1,Mid-Senior level
2017,Qtr 4,December,2,1,Entry level
2017,Qtr 4,December,4,1,Entry level
2017,Qtr 4,December,8,1,Associate
2017,Qtr 4,December,10,1,Mid-Senior level
2017,Qtr 4,December,15,1,Entry level
2017,Qtr 4,December,16,1,Mid-Senior level
2017,Qtr 4,December,17,1,Associate
2017,Qtr 4,December,19,1,Mid-Senior level
2017,Qtr 4,December,21,1,Mid-Senior level
2017,Qtr 4,December,22,1,Entry level
2017,Qtr 4,December,23,1,Mid-Senior level
2017,Qtr 4,December,27,1,Mid-Senior level
2017,Qtr 4,December,28,1,Mid-Senior level
2017,Qtr 4,December,31,3,Mid-Senior level
2018,Qtr 1,January,4,1,Mid-Senior level
2018,Qtr 1,January,7,1,Director
2018,Qtr 1,January,9,1,Entry level
2018,Qtr 1,January,9,1,Mid-Senior level
2018,Qtr 1,January,12,1,Entry level
2018,Qtr 1,January,15,2,Mid-Senior level
2018,Qtr 1,January,16,1,Associate
2018,Qtr 1,January,17,1,Entry level
2018,Qtr 1,January,17,1,Mid-Senior level
2018,Qtr 1,January,18,2,Mid-Senior level
2018,Qtr 1,January,19,1,Associate
2018,Qtr 1,January,19,1,Entry level
2018,Qtr 1,January,20,1,Entry level
2018,Qtr 1,January,21,1,Mid-Senior level
2018,Qtr 1,January,23,2,Mid-Senior level
2018,Qtr 1,January,24,1,Mid-Senior level
2018,Qtr 1,January,25,2,Mid-Senior level
2018,Qtr 1,January,26,1,Associate
2018,Qtr 1,January,28,1,Associate
2018,Qtr 1,January,29,1,Mid-Senior level
2018,Qtr 1,January,30,1,Entry level
2018,Qtr 1,January,30,1,Mid-Senior level
2018,Qtr 1,January,31,2,Mid-Senior level
2018,Qtr 1,February,1,1,Entry level
2018,Qtr 1,February,1,3,Mid-Senior level
2018,Qtr 1,February,2,1,Mid-Senior level
2018,Qtr 1,February,3,2,Mid-Senior level
2018,Qtr 1,February,4,1,Mid-Senior level
2018,Qtr 1,February,5,3,Mid-Senior level
2018,Qtr 1,February,6,1,Associate
2018,Qtr 1,February,6,2,Mid-Senior level
2018,Qtr 1,February,7,1,Associate
2018,Qtr 1,February,7,2,Entry level
2018,Qtr 1,February,7,2,Mid-Senior level
2018,Qtr 1,February,8,1,Entry level
2018,Qtr 1,February,9,2,Mid-Senior level
2018,Qtr 1,February,10,1,Mid-Senior level
2018,Qtr 1,February,11,1,Mid-Senior level
2018,Qtr 1,February,14,1,Associate
2018,Qtr 1,February,14,1,Mid-Senior level
2018,Qtr 1,February,15,1,Entry level
2018,Qtr 1,February,15,2,Mid-Senior level
2018,Qtr 1,February,17,1,Entry level
2018,Qtr 1,February,18,1,Mid-Senior level
2018,Qtr 1,February,19,1,Associate
2018,Qtr 1,February,20,1,Associate
2018,Qtr 1,February,20,1,Mid-Senior level
2018,Qtr 1,February,22,2,Mid-Senior level
2018,Qtr 1,February,23,1,Mid-Senior level
2018,Qtr 1,February,25,1,Mid-Senior level
2018,Qtr 1,February,28,2,Mid-Senior level
2018,Qtr 1,March,1,1,Entry level
2018,Qtr 1,March,1,1,Mid-Senior level
2018,Qtr 1,March,3,2,Mid-Senior level
2018,Qtr 1,March,5,1,Entry level
2018,Qtr 1,March,5,1,Mid-Senior level
2018,Qtr 1,March,6,1,Associate
2018,Qtr 1,March,7,1,Mid-Senior level
2018,Qtr 1,March,8,1,Associate
2018,Qtr 1,March,8,1,Entry level
2018,Qtr 1,March,11,1,Mid-Senior level
2018,Qtr 1,March,19,1,Mid-Senior level
2018,Qtr 1,March,20,2,Mid-Senior level
2018,Qtr 1,March,25,1,Entry level
2018,Qtr 1,March,30,1,Mid-Senior level
2018,Qtr 1,March,31,1,Mid-Senior level
2018,Qtr 2,April,4,1,Associate
2018,Qtr 2,April,10,3,Mid-Senior level
2018,Qtr 2,April,12,1,Mid-Senior level
2018,Qtr 2,April,13,1,Mid-Senior level
2018,Qtr 2,April,14,1,Mid-Senior level
2018,Qtr 2,April,16,1,Mid-Senior level
2018,Qtr 2,April,17,2,Mid-Senior level
2018,Qtr 2,April,19,1,Entry level
2018,Qtr 2,April,20,1,Mid-Senior level
2018,Qtr 2,April,21,1,Associate
2018,Qtr 2,April,22,1,Mid-Senior level
2018,Qtr 2,April,26,1,Mid-Senior level
2018,Qtr 2,April,27,1,Associate
2018,Qtr 2,April,27,1,Mid-Senior level
2018,Qtr 2,April,29,1,Associate
2018,Qtr 2,April,30,1,Mid-Senior level
2018,Qtr 2,May,2,2,Mid-Senior level
2018,Qtr 2,May,3,1,Mid-Senior level
2018,Qtr 2,May,4,1,Executive
2018,Qtr 2,May,4,1,Mid-Senior level
2018,Qtr 2,May,6,1,Associate
2018,Qtr 2,May,6,1,Mid-Senior level
2018,Qtr 2,May,7,2,Mid-Senior level
2018,Qtr 2,May,8,1,Associate
2018,Qtr 2,May,9,1,Associate
2018,Qtr 2,May,11,1,Entry level
2018,Qtr 2,May,12,1,Mid-Senior level
2018,Qtr 2,May,13,1,Associate
2018,Qtr 2,May,13,1,Entry level
2018,Qtr 2,May,13,1,Mid-Senior level
2018,Qtr 2,May,14,1,Associate
2018,Qtr 2,May,15,2,Mid-Senior level
2018,Qtr 2,May,16,1,Associate
2018,Qtr 2,May,18,2,Mid-Senior level
2018,Qtr 2,May,19,1,Associate
2018,Qtr 2,May,21,1,Entry level
2018,Qtr 2,May,21,1,Mid-Senior level
2018,Qtr 2,May,22,1,Mid-Senior level
2018,Qtr 2,May,25,1,Mid-Senior level
2018,Qtr 2,May,26,1,Internship
2018,Qtr 2,May,27,1,Associate
2018,Qtr 2,May,27,1,Internship
2018,Qtr 2,May,28,3,Mid-Senior level
2018,Qtr 2,May,29,2,Mid-Senior level
2018,Qtr 2,June,1,1,Mid-Senior level
2018,Qtr 2,June,2,1,Mid-Senior level
2018,Qtr 2,June,5,1,Entry level
2018,Qtr 2,June,8,1,Mid-Senior level
2018,Qtr 2,June,9,2,Associate
2018,Qtr 2,June,12,1,Entry level
2018,Qtr 2,June,13,1,Associate
2018,Qtr 2,June,14,1,Mid-Senior level
2018,Qtr 2,June,18,1,Mid-Senior level
2018,Qtr 2,June,23,1,Mid-Senior level
2018,Qtr 2,June,24,1,Associate
2018,Qtr 2,June,25,1,Mid-Senior level
2018,Qtr 2,June,27,1,Mid-Senior level
2018,Qtr 2,June,28,1,Associate
2018,Qtr 2,June,28,1,Mid-Senior level
2018,Qtr 3,July,2,1,Mid-Senior level
2018,Qtr 3,July,5,1,Entry level
2018,Qtr 3,July,6,1,Entry level
2018,Qtr 3,July,6,1,Mid-Senior level
2018,Qtr 3,July,7,1,Entry level
2018,Qtr 3,July,8,1,Entry level
2018,Qtr 3,July,9,1,Entry level
2018,Qtr 3,July,11,3,Mid-Senior level
2018,Qtr 3,July,13,1,Associate
2018,Qtr 3,July,14,1,Entry level
2018,Qtr 3,July,15,1,Mid-Senior level
2018,Qtr 3,July,16,1,Entry level
2018,Qtr 3,July,17,1,Mid-Senior level
2018,Qtr 3,July,19,1,Associate
2018,Qtr 3,July,22,2,Mid-Senior level
2018,Qtr 3,July,23,1,Entry level
2018,Qtr 3,July,23,2,Mid-Senior level
2018,Qtr 3,July,24,1,Mid-Senior level
2018,Qtr 3,July,25,1,Associate
2018,Qtr 3,July,27,1,Mid-Senior level
2018,Qtr 3,July,28,1,Associate
2018,Qtr 3,July,28,1,Mid-Senior level
2018,Qtr 3,July,29,1,Associate
2018,Qtr 3,July,30,1,Mid-Senior level
2018,Qtr 3,August,2,1,Entry level
2018,Qtr 3,August,4,1,Associate
2018,Qtr 3,August,4,1,Mid-Senior level
2018,Qtr 3,August,5,1,Mid-Senior level
2018,Qtr 3,August,6,1,Mid-Senior level
2018,Qtr 3,August,9,1,Mid-Senior level
2018,Qtr 3,August,12,1,Mid-Senior level
2018,Qtr 3,August,13,1,Entry level
2018,Qtr 3,August,18,1,Mid-Senior level
2018,Qtr 3,August,19,1,Mid-Senior level
2018,Qtr 3,August,22,1,Mid-Senior level
2018,Qtr 3,August,24,2,Mid-Senior level
2018,Qtr 3,August,26,1,Associate
2018,Qtr 3,August,27,1,Associate
2018,Qtr 3,September,1,1,Mid-Senior level
2018,Qtr 3,September,3,1,Associate
2018,Qtr 3,September,11,1,Mid-Senior level
2018,Qtr 3,September,17,1,Associate
2018,Qtr 3,September,17,1,Mid-Senior level
2018,Qtr 3,September,24,2,Mid-Senior level
2018,Qtr 3,September,26,1,Associate
2018,Qtr 3,September,26,1,Mid-Senior level
2018,Qtr 3,September,27,3,Mid-Senior level
2018,Qtr 3,September,30,1,Mid-Senior level
2018,Qtr 4,October,1,2,Mid-Senior level
2018,Qtr 4,October,2,1,Associate
2018,Qtr 4,October,2,1,Entry level
2018,Qtr 4,October,2,1,Mid-Senior level
2018,Qtr 4,October,3,1,Associate
2018,Qtr 4,October,6,1,Associate
2018,Qtr 4,October,7,1,Associate
2018,Qtr 4,October,8,1,Mid-Senior level
2018,Qtr 4,October,9,2,Entry level
2018,Qtr 4,October,10,1,Associate
2018,Qtr 4,October,10,1,Mid-Senior level
2018,Qtr 4,October,11,1,Director
2018,Qtr 4,October,14,1,Mid-Senior level
2018,Qtr 4,October,15,1,Associate
2018,Qtr 4,October,16,1,Mid-Senior level
2018,Qtr 4,October,17,1,Mid-Senior level
2018,Qtr 4,October,18,1,Mid-Senior level
2018,Qtr 4,October,20,1,Associate
2018,Qtr 4,October,20,1,Mid-Senior level
2018,Qtr 4,October,24,1,Mid-Senior level
2018,Qtr 4,October,28,1,Mid-Senior level
2018,Qtr 4,October,30,1,Mid-Senior level
2018,Qtr 4,October,31,2,Mid-Senior level
2018,Qtr 4,November,2,1,Mid-Senior level
2018,Qtr 4,November,3,2,Mid-Senior level
2018,Qtr 4,November,4,1,Associate
2018,Qtr 4,November,7,1,Mid-Senior level
2018,Qtr 4,November,9,1,Mid-Senior level
2018,Qtr 4,November,15,1,Mid-Senior level
2018,Qtr 4,November,18,1,Mid-Senior level
2018,Qtr 4,November,23,1,Mid-Senior level
2018,Qtr 4,November,24,2,Associate
2018,Qtr 4,November,24,1,Entry level
2018,Qtr 4,November,24,1,Mid-Senior level
2018,Qtr 4,November,25,1,Associate
2018,Qtr 4,November,25,1,Director
2018,Qtr 4,November,25,1,Mid-Senior level
2018,Qtr 4,November,26,1,Mid-Senior level
2018,Qtr 4,November,29,1,Entry level
2018,Qtr 4,November,29,1,Mid-Senior level
2018,Qtr 4,November,30,1,Entry level
2018,Qtr 4,November,30,1,Mid-Senior level
2018,Qtr 4,December,1,1,Mid-Senior level
2018,Qtr 4,December,2,1,Director
2018,Qtr 4,December,2,1,Entry level
2018,Qtr 4,December,3,1,Associate
2018,Qtr 4,December,4,2,Mid-Senior level
2018,Qtr 4,December,5,1,Associate
2018,Qtr 4,December,6,1,Associate
2018,Qtr 4,December,6,1,Mid-Senior level
2018,Qtr 4,December,8,1,Associate
2018,Qtr 4,December,8,1,Mid-Senior level
2018,Qtr 4,December,9,1,Mid-Senior level
2018,Qtr 4,December,13,1,Associate
2018,Qtr 4,December,17,1,Mid-Senior level
2018,Qtr 4,December,18,1,Entry level
2018,Qtr 4,December,18,4,Mid-Senior level
2018,Qtr 4,December,21,2,Mid-Senior level
2018,Qtr 4,December,22,1,Mid-Senior level
2018,Qtr 4,December,23,1,Associate
2018,Qtr 4,December,23,1,Mid-Senior level
2018,Qtr 4,December,24,1,Mid-Senior level
2018,Qtr 4,December,25,1,Mid-Senior level
2018,Qtr 4,December,26,1,Mid-Senior level
2018,Qtr 4,December,29,1,Mid-Senior level
2018,Qtr 4,December,30,2,Entry level
2018,Qtr 4,December,30,1,Mid-Senior level
2019,Qtr 1,January,1,1,Entry level
2019,Qtr 1,January,1,2,Mid-Senior level
2019,Qtr 1,January,3,1,Associate
2019,Qtr 1,January,3,1,Mid-Senior level
2019,Qtr 1,January,5,1,Mid-Senior level
2019,Qtr 1,January,7,1,Mid-Senior level
2019,Qtr 1,January,11,1,Mid-Senior level
2019,Qtr 1,January,12,1,Mid-Senior level
2019,Qtr 1,January,16,1,Mid-Senior level
2019,Qtr 1,January,21,1,Mid-Senior level
2019,Qtr 1,January,22,1,Mid-Senior level
2019,Qtr 1,January,25,1,Mid-Senior level
2019,Qtr 1,January,28,1,Mid-Senior level
2019,Qtr 1,January,30,1,Mid-Senior level
2019,Qtr 1,January,31,1,Associate
2019,Qtr 1,January,31,1,Mid-Senior level
2019,Qtr 1,February,1,1,Mid-Senior level
2019,Qtr 1,February,2,1,Mid-Senior level
2019,Qtr 1,February,3,1,Entry level
2019,Qtr 1,February,4,1,Mid-Senior level
2019,Qtr 1,February,10,2,Mid-Senior level
2019,Qtr 1,February,11,1,Mid-Senior level
2019,Qtr 1,February,12,1,Mid-Senior level
2019,Qtr 1,February,13,2,Mid-Senior level
2019,Qtr 1,February,17,1,Mid-Senior level
2019,Qtr 1,February,18,1,Entry level
2019,Qtr 1,February,18,1,Mid-Senior level
2019,Qtr 1,February,19,1,Entry level
2019,Qtr 1,February,20,2,Associate
2019,Qtr 1,February,22,1,Mid-Senior level
2019,Qtr 1,February,24,1,Mid-Senior level
2019,Qtr 1,February,26,1,Mid-Senior level
2019,Qtr 1,February,27,4,Mid-Senior level
2019,Qtr 1,February,28,1,Entry level
2019,Qtr 1,March,1,1,Mid-Senior level
2019,Qtr 1,March,2,5,Mid-Senior level
2019,Qtr 1,March,3,1,Associate
2019,Qtr 1,March,3,1,Mid-Senior level
2019,Qtr 1,March,8,2,Associate
2019,Qtr 1,March,9,2,Mid-Senior level
2019,Qtr 1,March,10,1,Mid-Senior level
2019,Qtr 1,March,14,1,Mid-Senior level
2019,Qtr 1,March,16,1,Mid-Senior level
2019,Qtr 1,March,17,2,Mid-Senior level
2019,Qtr 1,March,21,2,Mid-Senior level
2019,Qtr 1,March,22,1,Mid-Senior level
2019,Qtr 1,March,25,1,Associate
2019,Qtr 1,March,25,1,Mid-Senior level
2019,Qtr 1,March,28,1,Mid-Senior level
2019,Qtr 1,March,29,1,Entry level
2019,Qtr 1,March,29,1,Mid-Senior level
2019,Qtr 1,March,31,2,Associate
2019,Qtr 2,April,1,2,Mid-Senior level
2019,Qtr 2,April,2,1,Entry level
2019,Qtr 2,April,6,1,Entry level
2019,Qtr 2,April,8,1,Entry level
2019,Qtr 2,April,8,1,Mid-Senior level
2019,Qtr 2,April,10,1,Entry level
2019,Qtr 2,April,10,3,Mid-Senior level
2019,Qtr 2,April,12,1,Entry level
2019,Qtr 2,April,13,1,Associate
2019,Qtr 2,April,14,1,Mid-Senior level
2019,Qtr 2,April,15,2,Mid-Senior level
2019,Qtr 2,April,17,1,Mid-Senior level
2019,Qtr 2,April,23,1,Mid-Senior level
2019,Qtr 2,April,25,1,Entry level
2019,Qtr 2,April,25,1,Mid-Senior level
2019,Qtr 2,April,27,1,Mid-Senior level
2019,Qtr 2,April,28,1,Mid-Senior level
2019,Qtr 2,April,29,1,Mid-Senior level
2019,Qtr 2,April,30,1,Mid-Senior level
2019,Qtr 2,May,3,1,Mid-Senior level
2019,Qtr 2,May,4,1,Associate
2019,Qtr 2,May,8,1,Director
2019,Qtr 2,May,12,2,Mid-Senior level
2019,Qtr 2,May,13,1,Associate
2019,Qtr 2,May,15,1,Mid-Senior level
2019,Qtr 2,May,18,1,Entry level
2019,Qtr 2,May,18,1,Mid-Senior level
2019,Qtr 2,May,19,2,Mid-Senior level
2019,Qtr 2,May,23,1,Mid-Senior level
2019,Qtr 2,May,24,1,Mid-Senior level
2019,Qtr 2,May,25,1,Mid-Senior level
2019,Qtr 2,May,26,1,Mid-Senior level
2019,Qtr 2,May,27,1,Entry level
2019,Qtr 2,May,29,1,Mid-Senior level
2019,Qtr 2,May,30,1,Mid-Senior level
2019,Qtr 2,May,31,1,Entry level
2019,Qtr 2,June,1,1,Mid-Senior level
2019,Qtr 2,June,4,2,Mid-Senior level
2019,Qtr 2,June,6,1,Mid-Senior level
2019,Qtr 2,June,7,1,Mid-Senior level
2019,Qtr 2,June,8,1,Mid-Senior level
2019,Qtr 2,June,9,1,Entry level
2019,Qtr 2,June,13,2,Mid-Senior level
2019,Qtr 2,June,14,1,Mid-Senior level
2019,Qtr 2,June,16,2,Mid-Senior level
2019,Qtr 2,June,17,1,Mid-Senior level
2019,Qtr 2,June,18,1,Mid-Senior level
2019,Qtr 2,June,19,1,Mid-Senior level
2019,Qtr 2,June,23,1,Mid-Senior level
2019,Qtr 2,June,26,1,Mid-Senior level
2019,Qtr 2,June,28,3,Mid-Senior level
2019,Qtr 2,June,29,1,Mid-Senior level
2019,Qtr 2,June,30,2,Entry level
2019,Qtr 3,July,1,1,Entry level
2019,Qtr 3,July,4,2,Mid-Senior level
2019,Qtr 3,July,5,1,Entry level
2019,Qtr 3,July,6,1,Mid-Senior level
2019,Qtr 3,July,7,1,Associate
2019,Qtr 3,July,8,1,Mid-Senior level
2019,Qtr 3,July,9,1,Associate
2019,Qtr 3,July,9,2,Mid-Senior level
2019,Qtr 3,July,11,1,Entry level
2019,Qtr 3,July,12,1,Mid-Senior level
2019,Qtr 3,July,16,1,Mid-Senior level
2019,Qtr 3,July,17,2,Mid-Senior level
2019,Qtr 3,July,19,1,Associate
2019,Qtr 3,July,21,1,Mid-Senior level
2019,Qtr 3,July,22,1,Mid-Senior level
2019,Qtr 3,July,24,1,Entry level
2019,Qtr 3,July,24,1,Mid-Senior level
2019,Qtr 3,July,26,1,Mid-Senior level
2019,Qtr 3,July,29,2,Mid-Senior level
2019,Qtr 3,July,30,1,Associate
2019,Qtr 3,July,31,1,Associate
2019,Qtr 3,July,31,2,Mid-Senior level
2019,Qtr 3,August,1,2,Associate
2019,Qtr 3,August,1,3,Mid-Senior level
2019,Qtr 3,August,4,1,Mid-Senior level
2019,Qtr 3,August,6,1,Mid-Senior level
2019,Qtr 3,August,8,1,Associate
2019,Qtr 3,August,8,1,Mid-Senior level
2019,Qtr 3,August,10,2,Mid-Senior level
2019,Qtr 3,August,14,2,Mid-Senior level
2019,Qtr 3,August,16,1,Entry level
2019,Qtr 3,August,16,1,Mid-Senior level
2019,Qtr 3,August,17,1,Mid-Senior level
2019,Qtr 3,August,18,1,Associate
2019,Qtr 3,August,18,1,Mid-Senior level
2019,Qtr 3,August,19,1,Mid-Senior level
2019,Qtr 3,August,21,1,Mid-Senior level
2019,Qtr 3,August,23,1,Entry level
2019,Qtr 3,August,23,1,Mid-Senior level
2019,Qtr 3,August,25,1,Mid-Senior level
